#Parameters = {Curva=0; DistanciaX=50; DistanciaY=50; Hcooper=0.035; Hfr=1.565; La=14; Lamda=61.2322; Lf=15; Lfdiv=15.30805; Lp=27; Placa=100; Wa=2; Wf=3; Wfdiv=1.6548; Wp=26.11}
#"Frequency / MHz"	"VSWR2 [Magnitude]"
#-------------------------------------
3168.0000000000	69.885493686095
3170.0000000000	69.628518382664
3172.0000000000	69.374760496871
3174.0000000000	69.124332460731
3176.0000000000	68.877339829634
3178.0000000000	68.633881695241
3180.0000000000	68.394051062917
3182.0000000000	68.157935231542
3184.0000000000	67.925616151096
3186.0000000000	67.697170768935
3188.0000000000	67.472671354389
3190.0000000000	67.252185822182
3192.0000000000	67.035778029055
3194.0000000000	66.823508069591
3196.0000000000	66.615432554492
3198.0000000000	66.411604876818
3200.0000000000	66.212075467822
3202.0000000000	66.016892043587
3204.0000000000	65.826099840148
3206.0000000000	65.639741836547
3208.0000000000	65.457858977701
3210.0000000000	65.280490371308
3212.0000000000	65.107673499763
3214.0000000000	64.939444400775
3216.0000000000	64.775837857729
3218.0000000000	64.616887575111
